text	labels
This movie is absolutely fantastic and amazing!	0.95
The film was quite good and enjoyable.	0.75
It was an okay movie, nothing special.	0.50
The movie was disappointing and boring.	0.25
Terrible film, complete waste of time.	0.05
Outstanding performance by all actors!	0.90
Pretty decent film with good acting.	0.70
Average movie with some good moments.	0.55
Not very impressive, could be better.	0.30
Awful movie, don't recommend it.	0.10
Excellent storytelling and cinematography!	0.92
Good movie but not great.	0.65
Mediocre film with weak plot.	0.45
Poor acting and direction.	0.20
Masterpiece of modern cinema!	0.98
Solid entertainment value.	0.72
Boring and predictable storyline.	0.35
Very disappointing ending.	0.28
Brilliant and thought-provoking film.	0.88
Just another average Hollywood movie.	0.52